Hora da Leitura,Corrente,Tensao
8:8,0.24,25.35
8:9,0.45,24.82
8:10,0.39,24.69
8:11,0.38,24.68
8:12,0.37,24.68
8:13,0.38,24.79
8:14,0.38,25.08
8:15,0.37,25.16
8:16,0.35,25.20
8:17,0.33,25.22
8:18,0.33,25.24
8:19,0.35,25.10
8:20,0.36,24.71
8:21,0.39,24.69
8:22,0.49,24.67
8:23,0.59,24.68
8:24,0.56,24.67
8:25,0.50,24.65
8:26,0.56,24.66
8:27,0.59,24.64
8:28,0.55,24.63
8:29,0.50,24.62
8:30,0.55,24.62
8:31,0.63,24.62
8:32,0.56,24.62
8:33,0.55,24.62
8:34,0.54,24.62
8:35,0.67,24.62
8:36,0.64,24.60
8:37,0.61,24.57
8:38,0.56,24.57
8:39,0.60,24.58
8:40,0.73,24.57
8:41,0.69,24.57
8:42,0.65,24.57
8:43,0.59,24.57
8:44,0.64,24.56
8:45,0.75,24.57
8:46,0.64,24.55
8:47,0.57,24.55
8:48,0.54,24.53
8:49,0.57,24.56
8:50,0.75,24.52
8:51,1.03,24.54
8:52,1.39,24.57
8:53,1.83,24.60
8:54,2.27,24.62
8:55,2.24,24.64
8:56,2.47,24.68
8:57,2.56,24.68
8:58,2.55,24.68
8:59,2.59,24.71
9:0,2.62,24.68
9:1,2.67,24.68
9:2,2.69,22.62
9:3,2.69,24.72
9:4,2.71,24.69
9:5,2.73,24.68
9:6,2.77,24.68
9:7,2.81,24.69
9:8,2.98,24.73
9:9,3.21,24.73
9:10,3.39,24.73
9:11,3.51,24.78
9:12,3.59,24.78
9:13,3.55,24.78
9:14,3.60,24.78
9:15,3.61,24.78
9:16,3.63,24.78
9:17,3.67,24.78
9:18,3.67,24.78
9:19,3.55,24.78
9:20,3.73,24.78
9:21,3.75,24.81
9:22,3.77,24.81
9:23,3.79,24.82
9:24,3.83,24.84
9:25,3.83,24.84
9:26,3.85,24.83
9:27,3.87,24.84
9:28,3.89,24.83
9:29,3.91,24.84
9:30,3.94,24.84
9:31,3.95,24.84
9:32,3.98,24.86
9:33,4.00,25.43
9:34,4.02,25.79
9:35,4.04,25.43
9:36,4.06,25.24
9:37,4.09,25.18
9:38,4.10,25.13
9:39,4.12,25.09
9:40,4.13,25.06
9:41,4.14,25.05
9:42,3.78,25.03
9:43,2.18,25.00
9:44,2.59,25.00
9:45,4.07,25.00
9:46,3.57,25.00
9:47,4.12,25.00
9:48,4.27,25.00
9:49,4.17,25.00
9:50,3.93,25.02
9:51,2.94,25.00
Hora da Leitura,Corrente,Tensao
9:55,0.96,23.11
9:56,4.61,25.84
9:57,4.21,25.57
9:58,3.78,25.36
9:59,4.27,25.29
10:0,4.21,25.23
10:1,4.33,25.22
10:2,4.09,25.20
10:3,4.57,25.19
10:4,4.61,25.20
10:5,4.63,25.20
10:6,4.67,25.17
10:7,4.67,25.18
10:8,4.27,25.17
10:9,4.25,25.26
10:10,4.39,25.91
10:11,4.44,26.19
10:12,4.53,25.72
10:13,4.74,25.55
10:14,4.73,25.48
10:15,4.64,25.47
10:16,4.54,25.44
10:17,4.75,25.43
10:18,4.70,25.43
10:19,4.72,25.43
10:20,4.90,25.39
10:21,5.12,25.43
10:22,5.15,25.40
10:23,5.18,25.38
10:24,5.18,25.41
10:25,5.19,25.39
10:26,5.17,25.39
10:27,5.18,25.43
10:28,5.19,25.43
10:29,5.20,25.43
10:30,5.21,25.43
10:31,5.22,25.45
10:32,5.26,25.44
10:33,5.27,25.45
10:34,5.29,25.45
10:35,5.06,25.43
10:36,5.32,25.48
10:37,5.37,25.48
10:38,5.37,25.48
10:39,5.42,25.48
10:40,5.44,25.48
10:41,5.49,25.51
10:42,5.51,25.54
10:43,5.53,25.54
10:44,5.54,25.54
10:45,5.56,25.54
10:46,5.62,25.54
10:47,5.64,25.64
10:48,5.67,26.31
10:49,5.65,26.51
10:50,5.54,26.34
10:51,5.20,25.86
10:52,4.82,25.75
10:53,5.08,25.71
10:54,5.21,25.69
10:55,5.44,25.68
10:56,5.46,25.69
10:57,5.57,25.66
10:58,5.54,25.65
10:59,5.74,25.65
11:0,5.75,25.65
11:1,5.56,25.63
11:2,5.77,25.57
11:3,5.79,25.51
11:4,5.78,25.48
11:5,5.80,25.43
11:6,5.87,25.44
11:7,5.88,25.43
11:8,5.87,25.43
11:9,5.89,25.43
11:10,5.90,25.43
11:11,5.89,25.40
11:12,5.91,25.42
11:13,5.91,25.42
11:14,5.90,25.38
11:15,5.91,25.38
11:16,5.69,25.38
11:17,5.43,25.38
11:18,5.09,25.81
11:19,5.10,25.56
11:20,5.71,25.50
11:21,5.72,25.47
11:22,5.70,25.43
11:23,5.70,25.43
11:24,5.65,25.43
11:25,5.62,25.43
11:26,5.63,25.43
11:27,5.68,25.43
11:28,5.29,25.43
11:29,5.55,25.43
11:30,5.49,25.43
11:31,5.39,25.43
11:32,5.70,25.43
11:33,5.61,25.43
11:34,5.55,25.43
11:35,5.75,25.43
11:36,5.82,25.44
11:37,5.72,25.43
11:38,5.67,25.39
11:39,5.70,25.38
11:40,5.63,25.43
11:41,5.65,25.43
11:42,5.65,25.43
11:43,5.54,25.43
11:44,5.69,25.43
11:45,5.45,25.89
11:46,5.69,26.40
11:47,5.72,26.14
11:48,5.76,25.73
11:49,5.69,25.65
11:50,5.62,25.61
11:51,5.65,25.59
11:52,5.65,25.58
11:53,5.64,25.54
11:54,5.65,25.54
11:55,5.71,25.54
11:56,5.78,25.54
11:57,5.77,25.54
11:58,5.80,25.54
11:59,5.80,25.54
12:0,5.89,25.53
12:1,5.92,25.52
12:2,5.75,25.54
12:3,5.54,25.54
12:4,5.47,25.54
12:5,5.84,25.53
12:6,5.87,25.54
12:7,5.70,25.54
Hora da Leitura,Corrente,Tensao
Hora da Leitura,Corrente,Tensao
12:9,5.90,25.45
12:10,6.17,25.48
12:11,6.00,25.52
12:12,5.68,25.51
12:13,5.69,25.53
12:14,5.98,25.52
12:15,5.98,25.49
12:16,5.82,25.53
12:17,5.68,25.54
12:18,5.65,25.54
12:19,5.64,25.54
12:20,5.57,25.54
12:21,5.59,25.54
12:22,5.59,25.54
12:23,5.81,25.54
12:24,6.02,25.52
12:25,5.73,25.53
12:26,5.73,25.54
12:27,5.79,25.54
12:28,5.72,25.54
12:29,5.79,25.54
12:30,5.87,25.54
12:31,5.90,25.54
12:32,5.88,25.54
12:33,5.86,25.54
12:34,6.04,25.53
12:35,6.01,25.54
12:36,5.96,25.54
12:37,5.97,25.53
12:38,5.85,25.54
12:39,5.81,25.54
12:40,5.76,25.53
12:41,5.85,25.52
12:42,5.83,25.54
12:43,5.77,25.54
12:44,5.70,25.54
12:45,5.63,25.54
12:46,5.62,25.54
12:47,5.60,25.54
12:48,5.65,25.54
12:49,5.55,25.53
12:50,5.62,25.51
12:51,5.64,25.59
12:52,5.82,26.10
12:53,5.61,25.66
12:54,5.64,25.60
12:55,5.60,25.59
12:56,5.69,25.54
12:57,5.58,25.53
12:58,5.56,25.54
12:59,5.42,25.54
13:0,5.41,25.54
13:1,5.64,25.50
13:2,5.63,25.52
13:3,5.59,25.48
13:4,5.11,25.47
13:5,5.54,25.48
13:6,5.65,25.49
13:7,5.63,25.47
13:8,5.46,25.47
13:9,5.38,25.48
13:10,5.62,25.47
13:11,5.59,25.48
13:12,5.61,25.48
13:13,5.62,25.43
13:14,5.62,25.45
13:15,5.59,25.45
13:16,5.56,25.45
13:17,5.48,25.45
13:18,5.31,25.43
13:19,5.40,25.43
13:20,5.36,25.43
13:21,5.39,25.43
13:22,5.25,25.43
13:23,5.39,25.43
13:24,5.36,25.42
13:25,5.21,25.43
13:26,5.29,25.43
13:27,5.36,25.42
13:28,5.27,25.38
13:29,5.21,25.39
13:30,5.15,25.38
13:31,5.21,25.38
13:32,5.13,25.38
13:33,5.17,25.38
13:34,5.14,25.38
13:35,5.16,25.38
13:36,5.06,25.33
13:37,5.07,25.32
13:38,4.84,25.35
13:39,4.99,25.32
13:40,4.73,25.30
13:41,4.10,25.22
13:42,3.69,25.13
13:43,3.81,25.09
13:44,3.96,25.05
13:45,4.06,25.06
13:46,3.73,25.03
13:47,3.64,25.00
13:48,3.94,25.00
13:49,4.02,25.01
13:50,3.65,24.98
13:51,3.59,24.95
13:52,3.92,24.98
13:53,3.72,24.99
13:54,3.48,24.95
13:55,3.53,24.95
13:56,4.00,24.96
13:57,3.63,24.91
13:58,3.49,24.89
13:59,3.67,24.90
14:0,3.90,24.94
14:1,3.56,24.88
14:2,3.53,24.87
14:3,3.90,24.99
14:4,3.72,25.02
14:5,3.44,24.98
14:6,3.56,24.97
14:7,3.90,25.00
14:8,3.53,24.96
14:9,3.45,24.95
14:10,3.70,24.98
14:11,3.70,24.98
14:12,3.30,24.95
14:13,3.42,24.95
14:14,3.82,24.99
14:15,3.42,24.94
14:16,3.25,24.93
14:17,3.55,24.95
14:18,3.45,24.96
14:19,3.17,24.91
14:20,3.41,24.91
14:21,3.72,24.95
14:22,3.28,24.91
14:23,3.24,24.91
14:24,3.67,24.95
14:25,4.13,25.00
14:26,4.13,25.05
14:27,4.10,25.05
14:28,4.02,25.05
14:29,3.95,25.05
14:30,3.97,25.06
14:31,3.92,25.05
14:32,3.74,25.05
14:33,3.75,25.05
14:34,3.86,25.05
14:35,3.98,25.05
14:36,4.16,25.01
14:37,4.27,25.01
14:38,4.27,25.00
14:39,4.28,25.02
14:40,2.30,24.86
14:41,2.26,24.78
14:42,1.44,24.71
14:43,1.54,24.96
14:44,2.73,25.45
14:45,0.24,25.00
14:46,-0.17,24.69
14:47,-0.45,24.63
Hora da Leitura,Corrente,Tensao
14:51,0.94,24.67
14:52,1.84,22.65
14:53,3.42,24.77
14:54,3.46,24.78
14:55,3.29,24.78
14:56,3.45,24.78
14:57,3.31,24.77
14:58,3.26,24.74
14:59,3.52,24.78
15:0,3.28,24.74
15:1,3.42,24.77
15:2,3.32,24.74
15:3,3.39,24.76
15:4,3.59,24.78
15:5,3.19,24.74
15:6,3.41,24.75
15:7,3.21,24.75
15:8,3.18,24.73
15:9,3.31,24.74
15:10,3.17,24.73
15:11,3.39,24.74
15:12,3.13,24.73
15:13,3.13,24.73
15:14,2.99,24.73
15:15,3.01,24.74
15:16,3.63,24.77
15:17,3.91,24.79
15:18,3.99,24.78
15:19,3.93,24.78
15:20,3.79,24.78
15:21,3.72,24.78
15:22,3.71,24.79
15:23,3.66,24.78
15:24,3.71,24.78
15:25,3.67,24.78
15:26,3.65,24.78
15:27,3.60,24.78
15:28,3.61,24.78
15:29,3.55,24.78
15:30,3.53,24.78
15:31,3.49,24.78
15:32,3.45,24.74
15:33,3.44,24.75
15:34,3.44,24.74
15:35,3.41,24.73
15:36,3.41,24.73
15:37,3.36,24.73
15:38,3.31,25.00
15:39,3.12,25.33
15:40,3.07,25.51
15:41,3.07,25.65
15:42,3.02,25.73
15:43,3.00,25.78
15:44,3.00,25.83
15:45,2.97,25.86
15:46,2.92,25.91
15:47,2.86,25.91
15:48,2.75,25.91
15:49,2.68,25.91
15:50,2.62,25.91
15:51,2.58,25.91
15:52,2.55,25.91
15:53,2.54,25.92
15:54,2.50,25.94
15:55,2.49,25.97
15:56,2.47,25.97
15:57,2.43,25.97
15:58,2.43,25.97
15:59,2.41,25.97
16:0,2.39,25.97
16:1,2.35,25.97
16:2,2.36,25.97
16:3,2.33,26.02
16:4,2.31,26.02
16:5,2.32,26.01
16:6,2.28,26.00
16:7,2.25,26.02
16:8,2.24,26.02
16:9,2.20,25.83
16:10,2.22,25.99
16:11,2.16,26.02
16:12,2.17,26.02
16:13,2.14,26.02
16:14,2.12,26.02
16:15,2.10,26.02
16:16,2.02,26.02
16:17,1.63,25.99
16:18,1.01,25.89
16:19,0.60,25.81
16:20,0.45,25.76
16:21,0.13,25.69
16:22,0.00,25.64
16:23,-0.03,25.61
16:24,-0.03,25.59
16:25,-0.04,25.59
16:26,-0.04,25.58
16:27,-0.05,25.55
16:28,-0.06,25.54
16:29,-0.05,25.54
16:30,-0.06,25.54
16:31,-0.08,25.54
16:32,-0.09,25.54
16:33,-0.08,25.53
16:34,-0.09,25.51
16:35,-0.08,25.49
16:36,-0.09,25.48
16:37,-0.09,25.48
16:38,-0.09,25.48
